Player,TEAM,AGE,RESTRICTED AREA FGM,RESTRICTED AREA FGA,RESTRICTED AREA FG%,IN THE PAINT (NON-RA) FGM,IN THE PAINT (NON-RA) FGA,IN THE PAINT (NON-RA) FG%,MID-RANGE FGM,MID-RANGE FGA,MID-RANGE FG%,LEFT CORNER 3 FGM,LEFT CORNER 3 FGA,LEFT CORNER 3 FG%,RIGHT CORNER 3 FGM,RIGHT CORNER 3 FGA,RIGHT CORNER 3 FG%,ABOVE THE BREAK 3 FGM,ABOVE THE BREAK 3 FGA,ABOVE THE BREAK 3 FG%
Alfonzo McKinnie,TOR,25,0.1,0.1,100,0.2,0.2,66.7,0.1,0.1,100,0.3,0.5,50,0,0.2,0,0.1,0.3,25
Bruno Caboclo,SAC,22,0,0,0,0,0,0,0,0,0,0,1,0,-,-,-,0,1,0
CJ Miles,TOR,31,0.6,0.9,61.5,0.2,0.6,26.8,0.2,0.6,29.3,0.4,0.7,53.3,0.3,0.8,44.9,1.7,5.1,33.1
DeMar DeRozan,TOR,28,2.6,4,64.7,1.7,3.7,44.5,2.7,6.3,42.5,0.2,0.6,29.4,0.1,0.5,28.2,0.8,2.4,32.6
Delon Wright,TOR,26,1.7,2.9,59.4,0.3,0.9,31.1,0.1,0.2,37.5,0.1,0.3,47.1,0.1,0.3,35.3,0.6,1.7,35.7
Fred VanVleet,TOR,24,1.4,2.7,51.4,0.2,0.6,24.5,0.1,0.4,18.5,0.3,0.7,41.3,0.2,0.5,45.7,1,2.3,42
Jakob Poeltl,TOR,22,2.7,3.7,72,0.3,0.7,43.1,0.1,0.2,35.3,0,0,0,0,0,50,0,0,0
Jonas Valanciunas,TOR,26,3.1,4.5,68,1.2,2.6,47.2,0.4,0.8,43.8,0.1,0.1,80,0,0,0,0.3,0.9,38.2
Kyle Lowry,TOR,32,1.5,2.4,61.4,0.3,1,26.7,0.4,1.1,34.5,0.2,0.6,42.2,0.2,0.3,58.3,2.6,6.7,39
Lorenzo Brown,TOR,27,0.3,0.4,80,0.3,0.7,44.4,0.3,0.7,50,0,0.3,0,0,0.4,0,0.2,0.5,33.3
Lucas Nogueira,TOR,25,0.9,1.3,71.7,0,0,100,0,0,0,0,0.1,0,0,0,0,0.1,0.3,33.3
Malachi Richardson,TOR,22,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,1,0
Malcolm Miller,TOR,25,0.4,0.5,71.4,0,0,0,0,0,0,0.3,0.5,50,0,0.1,0,0.4,1,35.7
Nigel Hayes,SAC,23,0,0,0,0,0,0,0,0,0,1,1,100,1,1,100,0,0,0
Norman Powell,TOR,25,1,1.8,56.2,0.3,0.6,46.2,0.2,0.4,39.3,0.1,0.8,15.9,0.2,0.4,54.5,0.5,1.7,28.3
OG Anunoby,TOR,20,1.2,1.8,67.2,0,0.1,11.1,0,0.1,18.2,0.3,0.8,38.2,0.4,0.8,50,0.3,1.2,28.4
Pascal Siakam,TOR,24,2.2,3.1,70.4,0.5,1.2,42,0,0.2,30.8,0.1,0.5,23.1,0.1,0.4,31.3,0.1,0.7,16.9
Serge Ibaka,TOR,28,1.4,2,68.2,0.9,1.8,51.5,1.3,2.6,49.8,0.2,0.4,41.4,0.1,0.2,50,1.1,3.3,34.3
